window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S,S-SETTLE,S1,2.5,60,-0.012,0.183,4.55,0.488,6419.0
S,S-SETTLE,S1,2.5,120,-0.055,0.22,4.17,0.486,5778.0
S,S-SETTLE,S1,3.0,5,-0.002,0.054,3.12,0.472,3331.0
S,S-SETTLE,S1,3.0,15,-0.013,0.118,3.95,0.477,3295.0
S,S-SETTLE,S1,3.0,30,-0.051,0.157,3.86,0.478,3232.0
S,S-SETTLE,S1,3.0,60,-0.113,0.168,3.14,0.474,3098.0
S,S-SETTLE,S1,3.0,120,-0.129,0.173,2.42,0.486,2862.0
S,S-SETTLE,S2,1.5,5,0.013,0.01,1.14,0.455,23362.0
S,S-SETTLE,S2,1.5,15,0.016,0.025,1.56,0.481,22668.0
S,S-SETTLE,S2,1.5,30,-0.003,-0.009,-0.4,0.485,21767.0
S,S-SETTLE,S2,1.5,60,-0.019,-0.005,-0.16,0.489,19968.0
S,S-SETTLE,S2,1.5,120,-0.044,0.043,0.93,0.483,16303.0
S,S-SETTLE,S2,2.0,5,0.009,0.008,0.65,0.458,14426.0
S,S-SETTLE,S2,2.0,15,-0.0,0.03,1.54,0.476,14097.0
S,S-SETTLE,S2,2.0,30,-0.02,0.021,0.69,0.48,13635.0
S,S-SETTLE,S2,2.0,60,-0.043,0.048,1.18,0.48,12773.0
S,S-SETTLE,S2,2.0,120,-0.11,0.116,2.31,0.477,10849.0
S,S-SETTLE,S2,2.5,5,-0.002,0.017,1.16,0.459,6979.0
S,S-SETTLE,S2,2.5,15,-0.004,0.043,1.67,0.487,6868.0
S,S-SETTLE,S2,2.5,30,-0.013,0.094,2.59,0.484,6676.0
S,S-SETTLE,S2,2.5,60,-0.05,0.147,3.19,0.473,6308.0
S,S-SETTLE,S2,2.5,120,-0.053,0.144,2.39,0.485,5594.0
S,S-SETTLE,S2,3.0,5,-0.016,0.036,1.78,0.461,3172.0
S,S-SETTLE,S2,3.0,15,-0.012,0.08,2.37,0.492,3139.0
S,S-SETTLE,S2,3.0,30,-0.024,0.111,2.6,0.497,3093.0
S,S-SETTLE,S2,3.0,60,-0.011,0.154,2.81,0.498,2959.0
S,S-SETTLE,S2,3.0,120,-0.057,0.09,1.15,0.488,2690.0
S,S-SETTLE,S3,1.5,5,0.007,0.028,2.8,0.445,19184.0
S,S-SETTLE,S3,1.5,15,-0.002,0.03,1.62,0.47,18751.0
S,S-SETTLE,S3,1.5,30,-0.016,0.042,1.43,0.478,18098.0
S,S-SETTLE,S3,1.5,60,-0.071,0.031,0.7,0.475,16716.0
S,S-SETTLE,S3,1.5,120,-0.117,0.085,1.24,0.48,13716.0
S,S-SETTLE,S3,2.0,5,0.018,0.053,4.06,0.46,12202.0
S,S-SETTLE,S3,2.0,15,0.008,0.084,3.66,0.483,12023.0
S,S-SETTLE,S3,2.0,30,-0.007,0.11,3.08,0.492,11735.0
S,S-SETTLE,S3,2.0,60,-0.045,0.199,3.9,0.484,11184.0
S,S-SETTLE,S3,2.0,120,-0.059,0.388,5.5,0.483,9819.0
S,S-SETTLE,S3,2.5,5,0.008,0.083,4.64,0.459,6268.0
S,S-SETTLE,S3,2.5,15,0.01,0.176,6.14,0.485,6212.0
S,S-SETTLE,S3,2.5,30,-0.031,0.209,4.94,0.481,6136.0
S,S-SETTLE,S3,2.5,60,-0.078,0.304,4.94,0.485,5935.0
S,S-SETTLE,S3,2.5,120,-0.049,0.407,4.86,0.486,5399.0
S,S-SETTLE,S3,3.0,5,0.021,0.094,3.81,0.464,2947.0
S,S-SETTLE,S3,3.0,15,-0.012,0.12,2.8,0.472,2926.0
S,S-SETTLE,S3,3.0,30,-0.018,0.234,3.93,0.483,2893.0
S,S-SETTLE,S3,3.0,60,-0.048,0.292,3.42,0.499,2806.0
S,S-SETTLE,S3,3.0,120,-0.055,0.327,2.89,0.477,2577.0
U,S-USED,S1,1.5,5,0.02,0.026,3.84,0.448,26383.0
U,S-USED,S1,1.5,15,0.013,0.039,3.43,0.475,25611.0
U,S-USED,S1,1.5,30,0.012,0.057,3.55,0.49,24662.0
U,S-USED,S1,1.5,60,0.003,0.074,2.93,0.494,22935.0
U,S-USED,S1,1.5,120,-0.014,0.11,2.94,0.495,19509.0
U,S-USED,S1,2.0,5,0.01,0.029,3.4,0.443,16964.0
U,S-USED,S1,2.0,15,0.006,0.041,3.02,0.472,16596.0
U,S-USED,S1,2.0,30,0.006,0.071,3.61,0.484,16119.0
U,S-USED,S1,2.0,60,-0.004,0.127,4.21,0.48,15298.0
U,S-USED,S1,2.0,120,-0.062,0.166,4.07,0.478,13674.0
U,S-USED,S1,2.5,5,0.001,0.035,3.62,0.45,8962.0
U,S-USED,S1,2.5,15,-0.005,0.062,3.7,0.472,8849.0
U,S-USED,S1,2.5,30,-0.036,0.079,3.15,0.468,8695.0
U,S-USED,S1,2.5,60,-0.052,0.153,4.08,0.473,8378.0
U,S-USED,S1,2.5,120,-0.127,0.153,2.98,0.472,7753.0
U,S-USED,S1,3.0,5,0.001,0.039,3.07,0.453,4493.0
U,S-USED,S1,3.0,15,0.005,0.098,4.48,0.474,4455.0
U,S-USED,S1,3.0,30,-0.042,0.103,3.43,0.465,4424.0
U,S-USED,S1,3.0,60,-0.075,0.157,3.65,0.457,4341.0
U,S-USED,S1,3.0,120,-0.131,0.149,2.52,0.456,4201.0
U,S-USED,S2,1.5,5,0.016,0.019,3.14,0.444,27516.0
U,S-USED,S2,1.5,15,0.019,0.035,2.81,0.48,26748.0
U,S-USED,S2,1.5,30,0.008,0.026,1.39,0.489,25678.0
U,S-USED,S2,1.5,60,-0.003,0.038,1.41,0.49,23823.0
U,S-USED,S2,1.5,120,-0.005,0.101,2.5,0.489,20195.0
U,S-USED,S2,2.0,5,0.012,0.014,1.77,0.449,16493.0
U,S-USED,S2,2.0,15,0.01,0.033,1.93,0.48,16108.0
U,S-USED,S2,2.0,30,0.005,0.051,2.14,0.491,15641.0
U,S-USED,S2,2.0,60,-0.004,0.09,2.48,0.486,14858.0
U,S-USED,S2,2.0,120,-0.056,0.135,2.92,0.492,13161.0
U,S-USED,S2,2.5,5,0.005,0.02,1.61,0.449,8480.0
U,S-USED,S2,2.5,15,0.006,0.068,3.41,0.482,8353.0
U,S-USED,S2,2.5,30,-0.016,0.082,2.82,0.48,8217.0
U,S-USED,S2,2.5,60,0.003,0.142,3.3,0.491,7930.0
U,S-USED,S2,2.5,120,-0.011,0.14,2.5,0.494,7340.0
U,S-USED,S2,3.0,5,0.007,0.021,1.42,0.453,4283.0
U,S-USED,S2,3.0,15,0.021,0.077,3.3,0.482,4245.0
U,S-USED,S2,3.0,30,-0.001,0.095,2.78,0.48,4209.0
U,S-USED,S2,3.0,60,0.007,0.132,2.73,0.496,4127.0
U,S-USED,S2,3.0,120,-0.104,0.075,1.15,0.481,3944.0
U,S-USED,S3,1.5,5,0.008,0.019,2.12,0.437,22600.0
U,S-USED,S3,1.5,15,0.007,0.047,2.91,0.47,21991.0
U,S-USED,S3,1.5,30,0.005,0.083,2.97,0.482,21221.0
U,S-USED,S3,1.5,60,-0.023,0.106,2.43,0.481,19831.0
U,S-USED,S3,1.5,120,-0.072,0.168,2.7,0.482,17209.0
U,S-USED,S3,2.0,5,0.009,0.051,4.52,0.44,14592.0
U,S-USED,S3,2.0,15,0.005,0.089,4.29,0.471,14329.0
U,S-USED,S3,2.0,30,-0.001,0.119,4.37,0.484,14021.0
U,S-USED,S3,2.0,60,-0.03,0.189,4.37,0.481,13437.0
U,S-USED,S3,2.0,120,-0.068,0.334,5.77,0.486,12261.0
U,S-USED,S3,2.5,5,0.011,0.045,3.14,0.451,7983.0
U,S-USED,S3,2.5,15,-0.002,0.077,3.03,0.472,7908.0
U,S-USED,S3,2.5,30,-0.0,0.127,3.79,0.483,7817.0
U,S-USED,S3,2.5,60,-0.031,0.261,5.21,0.484,7624.0
U,S-USED,S3,2.5,120,-0.056,0.379,5.79,0.485,7243.0
U,S-USED,S3,3.0,5,-0.012,0.038,2.03,0.45,4487.0
U,S-USED,S3,3.0,15,0.004,0.108,3.5,0.481,4459.0
U,S-USED,S3,3.0,30,0.002,0.191,4.7,0.478,4428.0
U,S-USED,S3,3.0,60,0.032,0.314,5.34,0.485,4371.0
U,S-USED,S3,3.0,120,-0.068,0.276,3.52,0.47,4263.0
