window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
U,S-USED,S2,3.0,120,-0.268,0.233,1.47,0.49,4245.0
U,S-USED,S3,1.5,5,0.056,0.099,5.41,0.454,29260.0
U,S-USED,S3,1.5,15,0.077,0.17,5.84,0.483,28466.0
U,S-USED,S3,1.5,30,0.068,0.249,5.7,0.488,27432.0
U,S-USED,S3,1.5,60,0.115,0.464,6.69,0.503,25446.0
U,S-USED,S3,1.5,120,0.095,0.691,5.95,0.504,21992.0
U,S-USED,S3,2.0,5,0.059,0.111,5.14,0.46,18212.0
U,S-USED,S3,2.0,15,0.111,0.255,6.6,0.499,17863.0
U,S-USED,S3,2.0,30,0.127,0.388,7.12,0.502,17397.0
U,S-USED,S3,2.0,60,0.099,0.61,6.9,0.499,16569.0
U,S-USED,S3,2.0,120,0.1,0.879,6.91,0.504,15053.0
U,S-USED,S3,2.5,5,0.055,0.133,4.54,0.468,9560.0
U,S-USED,S3,2.5,15,0.028,0.228,4.62,0.483,9455.0
U,S-USED,S3,2.5,30,0.051,0.393,5.02,0.493,9326.0
U,S-USED,S3,2.5,60,0.052,0.683,6.11,0.497,9043.0
U,S-USED,S3,2.5,120,0.067,0.816,5.34,0.505,8433.0
U,S-USED,S3,3.0,5,0.079,0.235,5.5,0.474,4847.0
U,S-USED,S3,3.0,15,0.081,0.384,6.32,0.496,4817.0
U,S-USED,S3,3.0,30,0.127,0.591,6.99,0.507,4792.0
U,S-USED,S3,3.0,60,0.087,0.714,6.35,0.502,4702.0
U,S-USED,S3,3.0,120,0.046,0.723,4.49,0.498,4525.0
