window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S,S-SETTLE,S2,1.5,30,0.001,0.043,2.1,0.484,33151.0
S,S-SETTLE,S2,1.5,60,-0.019,0.063,2.09,0.49,30342.0
S,S-SETTLE,S2,1.5,120,-0.043,0.076,1.63,0.491,24645.0
S,S-SETTLE,S2,2.0,5,0.018,0.039,3.33,0.458,21154.0
S,S-SETTLE,S2,2.0,15,0.012,0.065,3.61,0.478,20727.0
S,S-SETTLE,S2,2.0,30,-0.001,0.12,4.71,0.488,20092.0
S,S-SETTLE,S2,2.0,60,-0.021,0.182,5.08,0.487,18872.0
S,S-SETTLE,S2,2.0,120,-0.048,0.26,5.28,0.486,16245.0
S,S-SETTLE,S2,2.5,5,0.015,0.061,3.91,0.46,9792.0
S,S-SETTLE,S2,2.5,15,0.017,0.127,5.66,0.482,9639.0
S,S-SETTLE,S2,2.5,30,0.028,0.227,6.88,0.5,9419.0
S,S-SETTLE,S2,2.5,60,-0.002,0.291,6.6,0.495,8991.0
S,S-SETTLE,S2,2.5,120,-0.025,0.356,6.14,0.492,8082.0
S,S-SETTLE,S2,3.0,5,0.015,0.077,3.51,0.462,4192.0
S,S-SETTLE,S2,3.0,15,-0.003,0.122,3.67,0.488,4148.0
S,S-SETTLE,S2,3.0,30,-0.008,0.189,4.25,0.512,4094.0
S,S-SETTLE,S2,3.0,60,-0.005,0.264,4.54,0.504,3932.0
S,S-SETTLE,S2,3.0,120,-0.046,0.288,3.87,0.494,3665.0
S,S-SETTLE,S3,1.5,5,0.021,0.041,4.97,0.458,33525.0
S,S-SETTLE,S3,1.5,15,0.017,0.062,4.27,0.479,32712.0
S,S-SETTLE,S3,1.5,30,0.007,0.09,4.18,0.482,31540.0
S,S-SETTLE,S3,1.5,60,-0.019,0.13,3.77,0.483,29130.0
S,S-SETTLE,S3,1.5,120,-0.024,0.197,3.35,0.483,23732.0
S,S-SETTLE,S3,2.0,5,0.03,0.076,7.05,0.463,20402.0
S,S-SETTLE,S3,2.0,15,0.019,0.122,6.86,0.481,20083.0
S,S-SETTLE,S3,2.0,30,0.009,0.19,6.67,0.486,19616.0
S,S-SETTLE,S3,2.0,60,0.016,0.318,7.33,0.489,18659.0
S,S-SETTLE,S3,2.0,120,0.006,0.449,7.83,0.484,16258.0
S,S-SETTLE,S3,2.5,5,0.036,0.108,7.36,0.467,9931.0
S,S-SETTLE,S3,2.5,15,0.057,0.218,9.16,0.493,9836.0
S,S-SETTLE,S3,2.5,30,0.037,0.287,8.1,0.497,9689.0
S,S-SETTLE,S3,2.5,60,0.046,0.407,8.02,0.499,9334.0
S,S-SETTLE,S3,2.5,120,0.096,0.503,7.46,0.508,8460.0
S,S-SETTLE,S3,3.0,5,0.049,0.168,7.85,0.483,4280.0
S,S-SETTLE,S3,3.0,15,0.009,0.217,6.51,0.476,4250.0
S,S-SETTLE,S3,3.0,30,-0.024,0.313,6.69,0.485,4206.0
S,S-SETTLE,S3,3.0,60,-0.039,0.439,6.35,0.493,4071.0
S,S-SETTLE,S3,3.0,120,-0.063,0.444,5.09,0.492,3772.0
U,S-USED,S1,1.5,5,0.022,0.034,5.75,0.446,40987.0
U,S-USED,S1,1.5,15,0.032,0.058,5.62,0.479,39708.0
U,S-USED,S1,1.5,30,0.029,0.069,4.34,0.491,38099.0
U,S-USED,S1,1.5,60,0.028,0.103,3.92,0.502,35222.0
U,S-USED,S1,1.5,120,0.019,0.173,4.28,0.502,29939.0
U,S-USED,S1,2.0,5,0.028,0.053,6.71,0.458,24911.0
U,S-USED,S1,2.0,15,0.028,0.079,5.87,0.481,24308.0
U,S-USED,S1,2.0,30,0.022,0.104,5.4,0.489,23527.0
U,S-USED,S1,2.0,60,0.02,0.186,6.19,0.502,22199.0
U,S-USED,S1,2.0,120,-0.001,0.286,6.59,0.501,19751.0
U,S-USED,S1,2.5,5,0.022,0.061,5.73,0.461,12216.0
U,S-USED,S1,2.5,15,0.025,0.119,6.98,0.479,12007.0
U,S-USED,S1,2.5,30,0.009,0.153,5.97,0.489,11766.0
U,S-USED,S1,2.5,60,0.017,0.248,7.26,0.491,11337.0
U,S-USED,S1,2.5,120,-0.007,0.253,5.29,0.499,10405.0
U,S-USED,S1,3.0,5,0.013,0.077,5.29,0.456,5887.0
U,S-USED,S1,3.0,15,0.005,0.115,4.95,0.476,5851.0
U,S-USED,S1,3.0,30,0.01,0.15,4.99,0.49,5794.0
U,S-USED,S1,3.0,60,0.022,0.232,5.37,0.492,5692.0
U,S-USED,S1,3.0,120,-0.029,0.197,3.27,0.5,5421.0
U,S-USED,S2,1.5,5,0.026,0.035,5.47,0.449,42377.0
U,S-USED,S2,1.5,15,0.036,0.064,5.9,0.483,41116.0
U,S-USED,S2,1.5,30,0.028,0.053,2.98,0.489,39436.0
U,S-USED,S2,1.5,60,0.017,0.084,3.09,0.493,36448.0
U,S-USED,S2,1.5,120,0.009,0.162,4.2,0.498,30819.0
U,S-USED,S2,2.0,5,0.034,0.05,5.5,0.458,24510.0
U,S-USED,S2,2.0,15,0.038,0.077,5.29,0.482,23903.0
U,S-USED,S2,2.0,30,0.041,0.112,5.19,0.499,23159.0
U,S-USED,S2,2.0,60,0.047,0.194,5.98,0.501,21913.0
U,S-USED,S2,2.0,120,0.025,0.231,5.48,0.503,19497.0
U,S-USED,S2,2.5,5,0.033,0.044,3.26,0.464,11980.0
U,S-USED,S2,2.5,15,0.044,0.097,4.99,0.49,11827.0
U,S-USED,S2,2.5,30,0.04,0.131,4.64,0.499,11578.0
U,S-USED,S2,2.5,60,0.056,0.219,5.47,0.498,11109.0
U,S-USED,S2,2.5,120,0.051,0.258,5.14,0.509,10266.0
U,S-USED,S2,3.0,5,0.037,0.067,3.87,0.476,5441.0
U,S-USED,S2,3.0,15,0.04,0.131,5.19,0.483,5400.0
U,S-USED,S2,3.0,30,0.027,0.137,3.79,0.494,5359.0
U,S-USED,S2,3.0,60,0.018,0.179,3.57,0.478,5224.0
U,S-USED,S2,3.0,120,-0.03,0.16,2.48,0.491,4975.0
U,S-USED,S3,1.5,5,0.033,0.047,6.47,0.454,40325.0
U,S-USED,S3,1.5,15,0.041,0.092,7.73,0.479,39248.0
U,S-USED,S3,1.5,30,0.038,0.126,6.61,0.49,37851.0
U,S-USED,S3,1.5,60,0.025,0.175,5.89,0.492,35400.0
U,S-USED,S3,1.5,120,-0.007,0.237,5.26,0.489,30470.0
U,S-USED,S3,2.0,5,0.027,0.064,6.92,0.459,24510.0
U,S-USED,S3,2.0,15,0.027,0.112,7.71,0.482,24024.0
U,S-USED,S3,2.0,30,0.028,0.17,7.25,0.491,23445.0
U,S-USED,S3,2.0,60,0.006,0.253,7.18,0.487,22402.0
U,S-USED,S3,2.0,120,-0.017,0.391,7.88,0.489,20474.0
U,S-USED,S3,2.5,5,0.035,0.097,7.47,0.465,12449.0
U,S-USED,S3,2.5,15,0.046,0.173,8.01,0.489,12325.0
U,S-USED,S3,2.5,30,0.052,0.256,8.75,0.501,12157.0
U,S-USED,S3,2.5,60,0.044,0.38,9.44,0.492,11848.0
U,S-USED,S3,2.5,120,-0.002,0.421,7.58,0.492,11232.0
U,S-USED,S3,3.0,5,0.025,0.08,4.71,0.464,6058.0
U,S-USED,S3,3.0,15,0.05,0.167,6.59,0.491,6033.0
U,S-USED,S3,3.0,30,0.081,0.282,8.17,0.508,5997.0
U,S-USED,S3,3.0,60,0.058,0.335,7.13,0.498,5898.0
U,S-USED,S3,3.0,120,-0.009,0.359,5.64,0.487,5702.0
